Longitude,Latitude,Source,Name,Type,Responsable,Street,City,Telephone,Mobile,Mail,Site Web,Label,Products,Horaires
6.443479,46.7046743,http://www.biovaud.ch/,Hauser Thomas,-,Hauser Thomas,Le Crêt Neuf,1275 Chéserex,022 369 32 01,079 137 23 77,au-cret-neuf@bluewin.ch,-,-,-,Sur demande: 022 369 32 01
6.4962221,46.6342154,https://www.a-la-ferme.ch/chercher-des-offres/details/farm/ferme-des-fontaines/,Ferme des Fontaines,-,Claude et Magali guichard,Rue des Fontaines 30,1413 Orzens,021 887 76 71,-,famille.guichard@bluewin.ch,-,Swiss GAP,-,-
6.4078105,46.64625,https://www.a-la-ferme.ch/chercher-des-offres/details/farm/domaine-de-bon-boccard/,Domaine de Bon-Boccard,-,Steve et Virginie Bugnon,Ch. de Bon-Boccard 1,1162 Saint-Prex,021 806 42 81,-,-,-,Swiss GAP,-,-
6.8001564,46.4965701,https://www.a-la-ferme.ch/chercher-des-offres/details/farm/thuillard/,Thuillard,-,Claude-Pascal Thuillard,Frémérin 2,1415 Démoret,079 291 14 05,-,-,-,NaturaBeef,-,-
6.477179,46.6951311,https://www.a-la-ferme.ch/chercher-des-offres/details/farm/famille-candaux-thierry/,Famille Candaux Thierry,Venir chercher,Thierry Candaux,Rte du Dîme 8,1322 Croy,024 453 15 49,079 418 80 49,-,-,Bio Suisse,-,-
7.0344321,46.2900124,https://www.a-la-ferme.ch/chercher-des-offres/details/farm/ferme-de-etienne/,Ferme de Etienne,-,Vincent et Marie-Laure Etienne,Rue du Château 20,1308 La Chaux,021 861 33 54,-,-,-,Bio Suisse,-,-
6.7312616,46.488741,https://www.a-la-ferme.ch/chercher-des-offres/details/farm/ponnaz-et-fils/,Ponnaz et Fils,-,Louis-Philipe Ponnaz,Rte de Vevey 7,1096 Cully,021 799 13 18,076 563 30 60,ponnaz-et-fils@bluewin.ch,-,-,-,-
6.5721723,46.5289083,https://www.a-la-ferme.ch/chercher-des-offres/details/farm/femmes-solidaires-sans-frontieres/,Femmes solidaires sans frontières,-,Nicole Pletscher,Avenue de la Gare 90,1022 Chavannes-près-Renens,021 691 51 07,-,-,-,-,-,-
6.748841,46.7421239,https://www.a-la-ferme.ch/chercher-des-offres/details/farm/moevenpick-relais-chablais-est/,Mövenpick Relais Chablais Est,-,Helmut Heingartner,Autoroute A9 direction Lausanne,1853 Yvorne,-,-,-,-,-,-,-
6.6048872,46.5873041,http://www.marchepaysan.ch/site/fr/trouver-un-producteur/par-produits/-106-blondel-l-esprit-du-fruit/,Blondel  L'Esprit du Fruit,-,Blondel Michel,Rte d'Yverdon 19,Crissier,021 634 13 40,079 286 48 31,miblondel@bluewin.ch,http://www.mblondel.ch,PER,"Abricots,Ail,Alcools forts,Asperges blanches,Asperges vertes,Aubergines,Bettraves à salade cuites,Bois de feu,Brocoli,Brugnons blancs,Brugnons jaunes,Cardons,Carottes,Carottes en bottes,Carottes nouvelles,Cerises,Cerises Bigarreau,Cerises noires,Charcuterie,Choux de Bruxelles,Choux-fleurs,Choux romanesco,Concombres,Confitures,Courges,Courges musquée de Provence,Courgesttes,Céleri branche,Céleri pomme,Côtes de bette,Dent de lion,Eaux-de-vie,Echalotes,Endives,Epinards,Fenouil,Framboises,Fruits en conserve,Fruits frais,Griottes,Haricots,Haricots verts,Huile de noix,Huiles,Jus de fruits,Jus de pomme pasteurisé,Kiwis,Laitues romaines,Légumes frais,Miel,Mirabelles,Navets,Noix,Oeufs,Oeufs de poule,Oignons,Oignons bottes,Poireaux,Poires,Poires Beurré Bosc,Poires Comice,Poires conférence,Poires Williams,Poires à botzi,Poivrons,Pommes,Pommes Boskoop,Pommes Braeburn,Pommes de terre,Pommes de terre Agria,Pommes de terre Bintje,Pommes de terre charlotte,Pommes de terre nouvelles,Pommes Elstar,Pommes Gala,Pommes Golden,Pommes Gravenstein,Pommes Mairac,Pommes Pinova,Produits de la ruche,Pruneaux,Pêches,Pêches blanches,Pêches de vigne,Pêches jaunes,Pêches plates,Radis,Radis blancs,Raisinets,Raisinée,Rampon,Raves,Raves bottes,Reines-Claudes,Rhubarbe,Salades,Salades batavia,Salades pommées,Tomates,Tomates cerises,Tomates charnues,Tomates coeur de boeuf,Tomates en grappes,Tomates San Marzano,Viande de boeuf,Viande de porc,Viande d’Agneau,Vin blanc,Vin rosé,Vin rouge,Vins,Volaille",Le vendredi de 14 h à 18 h 30.
